times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.94, 0.0)|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
47.8|1.0|0.98|0.0|-163990.1177837057|-163989.56283575878|-163989.03311271855|-163988.44032741158
48.0|1.0|0.98|0.0|-164374.45707431153|-164373.73816447117|-164373.03186708418|-164372.28773233716
48.2|1.0|0.98|0.0|-164315.26519156175|-164314.63456889478|-164314.01655868115|-164313.34809865418
48.4|1.0|0.98|0.0|-164248.87621306998|-164248.3464900297|-164247.81676698948|-164247.2492065892
48.6|1.0|0.98|0.0|-164338.53496323564|-164337.45029224845|-164336.4034586213|-164335.3061751808
48.8|1.0|0.98|0.0|-163888.90006702696|-163888.49646852008|-163888.10548246658|-163887.6640465997
49.0|1.0|0.98|0.0|-164411.55007109232|-164411.13386013213|-164410.74287407863|-164410.30143821175
49.2|1.0|0.98|0.0|-164038.6542335109|-164038.02361084393|-164037.430825537|-164036.7749779634
49.4|1.0|0.98|0.0|-164196.49401838225|-164196.14086968874|-164195.8381708086|-164195.4850221151
49.6|1.0|0.98|0.0|-164310.67455846214|-164310.44753430202|-164310.22051014192|-164309.94303616844
49.8|1.0|0.98|0.0|-164611.39328342894|-164610.8887852954|-164610.40951206852|-164609.85456412158
50.0|1.0|0.98|0.0|-164340.9066091162|-164340.8309343962|-164340.78048458285|-164340.65436004943
50.2|1.0|0.98|0.0|-164469.47795845615|-164468.87256069586|-164468.26716293558|-164467.5987029086
50.4|1.0|0.98|0.0|-164578.1347854328|-164577.75641183264|-164577.3906506858|-164576.96182727226
50.6|1.0|0.98|0.0|-164504.7629983217|-164504.1954379214|-164503.65310242784|-164503.0350922142
50.8|1.0|0.98|0.0|-164395.6218578359|-164395.21825932906|-164394.8398857289|-164394.42367476868
51.0|1.0|0.98|0.0|-164316.8887774249|-164316.25815475793|-164315.6401445443|-164314.98429697068
51.2|1.0|0.98|0.0|-164303.4196098969|-164302.88988685666|-164302.37277626974|-164301.77999096282
51.4|1.0|0.98|0.0|-164355.59616254977|-164354.83941534942|-164354.1078930557|-164353.3259209487
51.6|1.0|0.98|0.0|-164191.56988983045|-164190.62395583|-164189.6654093762|-164188.68163801575
51.8|1.0|0.98|0.0|-164329.99498247492|-164328.68328732764|-164327.3842046337|-164326.04728457975
